lon,lat,vs30,z1pt0,z2pt5
171.747563,-43.90244439999999,240.04774,1.135,2.275
171.6243571,-42.76818509,367.5008,0.045,0.275
172.96349,-43.81091000000001,438.51877,0.025,1.375
172.7308795,-43.154677719999995,239.53447,0.845,2.125
171.5677355,-42.94894944,288.21875,0.055,0.275
171.4078656,-42.52395846999999,285.53925,0.685,0.975
172.59594720000004,-43.27441041,240.36111,1.085,3.325
169.71937270000004,-46.24906365999999,735.34753,0.075,0.375
170.192979,-44.562968,500.0,0.055,0.325
173.1285128,-41.38923599,282.76743,0.195,0.925
172.6821837,-43.480415,214.71187,0.715,2.625
173.9051179,-41.439544039999994,906.94165,0.065,0.275
172.5300153,-43.48317559,207.00554,0.595,2.675
172.6198762,-43.529347009999995,207.92435,0.545,2.425
172.647427,-43.538084999999995,207.92435,0.505,2.075
172.6323264,-43.532237120000005,207.00554,0.555,2.275
173.2748682,-42.81349054999999,242.81735,0.265,4.325
172.627523,-43.53592899999999,223.944,0.515,2.225
172.6241761,-43.56561795999999,207.92435,0.135,1.575
172.62322190000003,-43.574741,558.7529,0.095,1.525
166.869341,-45.293067,887.0987,0.065,0.375
171.7235561,-43.226526869999994,366.6793,0.085,0.325
172.3813342,-43.312290819999994,295.00708,0.575,2.875
172.8026023,-42.759438,239.99693,0.435,0.475
171.00616,-44.383179999999996,906.94165,0.255,1.475
172.644913,-43.606541,727.7365,0.005,1.475
172.624664,-43.632533999999985,810.1117,0.125,1.525
170.5021555,-45.87433511,732.4073,0.055,0.375
167.1535335,-45.46471318999998,887.0987,0.045,0.425
166.972743,-45.20256499999999,500.0,0.075,0.375
172.1021597,-43.48967461999999,239.87978,0.495,1.225
170.5139057,-45.862564799999994,314.67584,0.075,0.375
172.72725,-43.63026,448.3474,0.065,1.325
170.4929352,-45.902225879999996,240.78775,0.075,0.375
172.0938275,-43.89676518,239.72366,1.035,2.125
172.19792,-43.667499469999996,238.91142,0.455,1.525
171.8046144,-41.744960819999996,626.6557,0.065,0.375
170.4706449,-45.90515589999999,906.94165,0.055,0.375
